Export File Created with QBlade v0.96 64bit on 09.07.2020 at 17:39:15
_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,
Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],
3.45000e+02,-7.23707e+02,
3.50000e+02,-6.18313e+02,
3.55000e+02,-5.63761e+02,
0.00000e+00,-4.08179e+02,
5.00000e+00,-2.66117e+02,
1.00000e+01,-1.28922e+02,
1.50000e+01,1.72265e+01,
2.00000e+01,1.91948e+02,
2.50000e+01,3.49483e+02,
3.00000e+01,4.92406e+02,
3.50000e+01,6.13559e+02,
4.00000e+01,6.97425e+02,
4.50000e+01,7.47218e+02,
5.00000e+01,7.90021e+02,
5.50000e+01,8.22340e+02,
6.00000e+01,9.11899e+02,
6.50000e+01,9.47500e+02,
7.00000e+01,1.03062e+03,
7.50000e+01,1.07558e+03,
8.00000e+01,1.07722e+03,
8.50000e+01,1.11382e+03,
9.00000e+01,1.02403e+03,
9.50000e+01,1.03747e+03,
1.00000e+02,9.46596e+02,
1.05000e+02,8.99566e+02,
1.10000e+02,7.96977e+02,
1.15000e+02,7.28694e+02,
1.20000e+02,6.47044e+02,
1.25000e+02,5.56560e+02,
1.30000e+02,4.95495e+02,
1.35000e+02,4.23307e+02,
1.40000e+02,3.92268e+02,
1.45000e+02,3.57075e+02,
1.50000e+02,3.27410e+02,
1.55000e+02,2.83885e+02,
1.60000e+02,2.04132e+02,
1.65000e+02,1.19199e+02,
1.70000e+02,2.88967e+01,
1.75000e+02,-6.16993e+01,
1.80000e+02,-1.81486e+02,
1.85000e+02,-2.97772e+02,
1.90000e+02,-3.63853e+02,
1.95000e+02,-4.45935e+02,
2.00000e+02,-4.84177e+02,
2.05000e+02,-5.57753e+02,
2.10000e+02,-6.51321e+02,
2.15000e+02,-7.82668e+02,
2.20000e+02,-5.82788e+02,
2.25000e+02,-9.07684e+02,
2.30000e+02,-1.07461e+03,
2.35000e+02,-1.00687e+03,
2.40000e+02,-1.11598e+03,
2.45000e+02,-1.05499e+03,
2.50000e+02,-1.04435e+03,
2.55000e+02,-9.76915e+02,
2.60000e+02,-9.66280e+02,
2.65000e+02,-9.15244e+02,
2.70000e+02,-8.88684e+02,
