Export File Created with QBlade v0.96 64bit on 03.07.2020 at 17:57:48
TSR4.5 solidity=0.10 UA VL ICS1.1 WRF0.45 MW3,TSR4.5 solidity=0.10 UA VL ICS1.1 WRF0.45 MW3,
Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],
1.50000e+01,-1.40125e+00,
2.00000e+01,7.45474e-02,
2.50000e+01,2.84446e-01,
3.00000e+01,1.42049e+00,
3.50000e+01,1.83006e+00,
4.00000e+01,2.83452e+00,
4.50000e+01,3.23900e+00,
5.00000e+01,4.27458e+00,
5.50000e+01,4.88889e+00,
6.00000e+01,5.59886e+00,
6.50000e+01,6.11595e+00,
7.00000e+01,6.61311e+00,
7.50000e+01,6.76472e+00,
8.00000e+01,6.86066e+00,
8.50000e+01,7.24149e+00,
9.00000e+01,7.18191e+00,
9.50000e+01,7.66385e+00,
1.00000e+02,7.50931e+00,
1.05000e+02,8.31329e+00,
1.10000e+02,7.53277e+00,
1.15000e+02,7.98252e+00,
1.20000e+02,7.04908e+00,
1.25000e+02,6.99222e+00,
1.30000e+02,6.17049e+00,
1.35000e+02,6.08330e+00,
1.40000e+02,4.31745e+00,
1.45000e+02,2.62216e+00,
1.50000e+02,2.13417e+00,
1.55000e+02,1.33720e+00,
1.60000e+02,3.97748e-01,
1.65000e+02,-6.11524e-01,
1.70000e+02,-1.80198e+00,
1.75000e+02,-2.52594e+00,
1.80000e+02,-3.83380e+00,
1.85000e+02,-5.12873e+00,
1.90000e+02,-6.35061e+00,
1.95000e+02,-6.89488e+00,
2.00000e+02,-4.64980e+00,
2.05000e+02,-5.90307e+00,
2.10000e+02,-1.05332e+00,
2.15000e+02,-3.13964e+00,
2.20000e+02,-2.65285e+00,
2.25000e+02,-8.32547e+00,
2.30000e+02,-3.71425e+00,
2.35000e+02,-6.19802e+00,
2.40000e+02,4.27823e-01,
2.45000e+02,-2.94523e+00,
2.50000e+02,-7.34792e+00,
2.55000e+02,-2.07065e+00,
2.60000e+02,-3.05071e+00,
2.65000e+02,-3.42810e+00,
2.70000e+02,-2.90194e+00,
2.75000e+02,-3.08122e+00,
2.80000e+02,-3.05261e+00,
2.85000e+02,-3.58590e+00,
2.90000e+02,-5.33498e+00,
2.95000e+02,-8.85504e+00,
3.00000e+02,-8.29426e+00,
3.05000e+02,-4.67021e+00,
3.10000e+02,-6.31095e+00,
3.15000e+02,-5.87761e+00,
3.20000e+02,-5.51061e+00,
3.25000e+02,-5.20601e+00,
3.30000e+02,-4.77288e+00,
3.35000e+02,-4.65350e+00,
3.40000e+02,-4.20149e+00,
3.45000e+02,-4.09556e+00,
3.50000e+02,-4.42264e+00,
3.55000e+02,-3.85584e+00,
0.00000e+00,-2.44252e+00,
5.00000e+00,-3.14143e+00,
1.00000e+01,-1.17126e+00,
1.50000e+01,-1.71665e+00,
2.00000e+01,5.55691e-02,
2.50000e+01,1.06460e-01,
