Export File Created with QBlade v0.96 64bit on 09.07.2020 at 19:00:53
_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.14 6panel,_TSR4.5 solidity=0.14 6panel,_TSR4.5 solidity=0.14 6panel UAVL,_TSR4.5 solidity=0.14 6panel UAVL,_TSR4.5 solidity=0.14 ua 4-2,_TSR4.5 solidity=0.14 ua 4-2,
Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],
2.00000e+02,2.86117e+01,2.00000e+02,2.50416e+01,2.00000e+02,3.69299e+01,2.00000e+02,3.25973e+01,2.00000e+02,3.21733e+01,
2.05000e+02,3.33487e+01,2.05000e+02,3.72400e+01,2.05000e+02,3.35535e+01,2.05000e+02,3.28320e+01,2.05000e+02,3.60401e+01,
2.10000e+02,3.82815e+01,2.10000e+02,6.04244e+01,2.10000e+02,2.69902e+01,2.10000e+02,3.36387e+01,2.10000e+02,4.75422e+01,
2.15000e+02,3.37323e+01,2.15000e+02,8.54357e+01,2.15000e+02,3.95013e+01,2.15000e+02,5.02898e+01,2.15000e+02,6.49565e+01,
2.20000e+02,4.40826e+01,2.20000e+02,9.46477e+01,2.20000e+02,5.65921e+01,2.20000e+02,6.69705e+01,2.20000e+02,6.49048e+01,
2.25000e+02,6.29177e+01,2.25000e+02,8.42416e+01,2.25000e+02,6.08683e+01,2.25000e+02,7.53499e+01,2.25000e+02,1.53673e+02,
2.30000e+02,7.30944e+01,2.30000e+02,9.05919e+01,2.30000e+02,7.01881e+01,2.30000e+02,1.03979e+02,2.30000e+02,1.38738e+02,
2.35000e+02,8.05187e+01,2.35000e+02,1.02928e+02,2.35000e+02,9.96511e+01,2.35000e+02,1.47847e+02,2.35000e+02,1.38083e+02,
2.40000e+02,8.28267e+01,2.40000e+02,1.07947e+02,2.40000e+02,1.11125e+02,2.40000e+02,1.13023e+02,2.40000e+02,1.37391e+02,
2.45000e+02,6.36498e+01,2.45000e+02,3.44324e+02,2.45000e+02,1.20186e+02,2.45000e+02,1.40659e+02,2.45000e+02,1.40498e+02,
